Track circuit,Description,ID,State,Last locked for Route
TC364,TC364: Paths = P1045 P899 P1048,null,CLEAR,
TC365,TC365: Paths = P1046 P982 P1061 P1062 P900 P902 P903 P905 P907 P1024 P1071 P1072 P911 P913 P915 P917 P919 P921 P923 P925 P927 P929 P931 P933 P985 P986 P934 P935 P937 P939 P989 P990 P940 P1228 P1229 P1227 P1232 P1233 P1079,null,CLEAR,
TC366,TC366: Paths = P1047 P979 P897 P1043 P1044 P896 P1060 P1091,null,CLEAR,
TC367,TC367: Paths = P1050 P904 P906 P908 P909 P910 P912 P914 P916 P918 P920 P922 P924 P926 P928 P930 P932 P983 P984 P1073 P1074 P1025 P1026 P936 P938 P987 P988 P1065 P1066 P1225 P1226 P1027,null,CLEAR,
TC368,TC368: Paths = P1051 P1231 P1230,null,CLEAR,
TC369,TC369: Paths = P1080 P1015,null,CLEAR,
TC370,TC370: Paths = P1086,null,CLEAR,
TC371,TC371: Paths = P1084 P1194 P1193,null,CLEAR,
TC372,TC372: Paths = P1087 P1005 P1092,null,CLEAR,
TC373,TC373: Paths = P1089,null,CLEAR,
TC374,TC374: Paths = P1182,null,CLEAR,
TC375,TC375: Paths = P1098,null,CLEAR,
TC376,TC376: Paths = P1100,null,CLEAR,
TC377,TC377: Paths = P1236 P1283 P1291 P1290 P1318 P1287 P1272 P1288 P1289 P1317 P1328 P1327 P1282 P1264 P1292 P1346 P1345,null,CLEAR,
TC378,TC378: Paths = P1337 P1338 P1296 P1237 P1238 P1239 P1241 P1304 P1303 P1298 P1299 P1301 P1300 P1270 P1261 P1262 P1263 P1269 P1271 P1260 P1259 P1247 P1313,null,CLEAR,
TC379,TC379: Paths = P1240 P1248,null,CLEAR,
TC380,TC380: Paths = P1325 P1326 P4955 P4956 P4957 P4958 P4959 P4960 P4961 P4962 P4963 P4964 P4965 P4966 P4967 P4968 P4969 P4970,null,CLEAR,
TC381,TC381: Paths = P1242 P1243 P1244 P1246,null,CLEAR,
TC382,TC382: Paths = P1324 P1323 P1295 P1294 P1285 P1286 P1284 P1329 P1330,null,CLEAR,
TC383,TC383: Paths = P1251 P1250 P1249,null,CLEAR,
TC384,TC384: Paths = P1341 P1342 P1293 P1335 P1336,null,CLEAR,
TC385,TC385: Paths = P1255 P1254 P1253 P1252,null,CLEAR,
TC386,TC386: Paths = P1276,null,CLEAR,
TC387,TC387: Paths = P1256 P1277,null,CLEAR,
TC388,TC388: Paths = P1257 P1258,null,CLEAR,
TC389,TC389: Paths = P1281 P1275,null,CLEAR,
TC390,TC390: Paths = P1312 P1344 P1343 P1309 P10106 P10100 P10099,null,CLEAR,
TC391,TC391: Paths = P1339 P1340 P1268 P1310 P1311 P1305 P1306 P1307 P1308 P1302 P1319 P1320,null,CLEAR,
TC392,TC392: Paths = P1265,null,CLEAR,
TC393,TC393: Paths = P1266,null,CLEAR,
TC394,TC394: Paths = P1278,null,CLEAR,
TC395,TC395: Paths = P1280 P1273,null,CLEAR,
TC396,TC396: Paths = P1274,null,CLEAR,
TC397,TC397: Paths = P1279 P1267,null,CLEAR,
TC398,TC398: Paths = P1333 P1334 P10115,null,CLEAR,
TC399,TC399: Paths = P1331 P1332 P10105 P10117,null,CLEAR,
TC400,TC400: Paths = P1297 P1315,null,CLEAR,
TC401,TC401: Paths = P1316 P1321 P1322 P1245 P4975,null,CLEAR,
TC402,TC402: Paths = P1348 P1347 P10107 P10090 P10089 P10103 P10102 P10104 P10088 P10087,null,CLEAR,
TC403,TC403: Paths = P1314,null,CLEAR,
TC404,TC404: Paths = P1351 P1350 P5148,null,CLEAR,
TC405,TC405: Paths = P1441 P1495 P1494 P1440,null,CLEAR,
TC406,TC406: Paths = P1410 P1502,null,CLEAR,
TC407,TC407: Paths = P1486 P1514 P1487 P1362,null,CLEAR,
TC408,TC408: Paths = P1361 P1575 P1359 P1537 P1536 P1406 P1476 P1475 P1404,null,CLEAR,
TC409,TC409: Paths = P1479 P1480 P1408 P1434,null,CLEAR,
TC410,TC410: Paths = P1532 P1531 P1573,null,CLEAR,
TC411,TC411: Paths = P1397 P1398 P1401 P1402 P1471 P1472 P1358 P1431,null,CLEAR,
TC412,TC412: Paths = P1571 P1395 P1426,null,CLEAR,
